DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=2, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=2, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=2, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=2, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=3, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=3, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=3, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=3, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=4, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=4, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=4, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=4, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=4, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=4, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=5, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=5, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=5, tm_wday=5, tm_yday=131, tm_isdst=0)'
